2.20	-24.11	75.65
75.28	-7.94	34.00
25.95	67.93	65.97
-58.94	34.93	48.46
-60.74	-57.65	14.99
26.16	-82.62	4.62
66.20	-28.46	-58.44
-25.32	-60.57	-76.17
-37.06	-50.49	54.25
-70.88	-13.22	37.53
-34.37	5.84	68.83
17.58	-66.90	49.02
-21.32	-82.90	11.79
45.52	-17.77	62.12
61.38	-54.44	23.28
15.12	23.50	79.74
57.64	32.38	54.25
-24.45	59.95	68.48
-54.52	79.10	26.03
-1.13	106.25	37.40
-77.24	31.29	7.94
-76.60	-23.55	-12.03
-50.29	-67.23	-29.73
-63.07	-25.45	-68.44
1.04	-83.15	-36.65
52.39	-64.16	-28.02
28.95	-54.52	-83.60
80.00	-21.22	-9.70
78.12	32.45	8.21
53.73	80.47	26.84
-14.96	-15.29	-97.06
-15.50	-37.31	68.16
-37.00	-21.69	63.29
-15.41	-10.89	74.98
-52.84	-56.99	33.71
-68.28	-39.74	26.13
-57.23	-32.62	48.22
-53.83	-4.10	55.20
-65.31	13.93	44.51
-50.03	22.14	59.78
9.63	-45.07	67.01
-10.43	-63.00	54.56
22.87	-78.69	24.73
5.03	-85.27	7.91
-2.83	-79.03	31.89
-30.02	-71.55	35.10
-45.35	-71.84	14.38
23.13	-21.68	71.98
35.38	-44.54	59.59
64.02	-12.97	48.07
72.59	-29.81	30.76
57.39	-39.20	46.55
42.60	-63.41	38.20
43.68	-73.32	13.51
8.03	-2.08	78.66
31.42	3.65	72.07
21.58	48.70	74.80
42.28	52.74	62.35
38.71	28.72	70.19
52.18	7.88	60.23
68.65	10.47	43.83
-11.21	15.86	78.66
-46.42	47.23	59.28
-30.14	32.97	71.31
-4.69	42.80	78.29
3.10	67.70	71.08
-58.32	54.85	40.35
-42.04	73.48	51.51
-45.39	104.16	6.93
-17.37	116.18	10.63
-31.30	98.19	34.56
-15.46	86.39	57.99
15.17	87.77	57.23
-69.67	34.20	31.66
-68.44	56.31	16.20
-75.27	8.30	23.43
-70.60	-44.55	2.82
-78.20	-19.90	13.77
-57.08	-63.61	-4.52
-67.00	-47.82	-22.34
-38.36	-65.62	-55.26
-45.92	-48.80	-76.51
-59.26	-49.24	-49.53
-71.84	-24.87	-38.70
-37.47	-79.26	-9.13
15.63	-85.99	-13.61
-11.22	-86.89	-12.64
-27.03	-80.44	-34.55
-13.44	-73.43	-59.73
39.30	-77.35	-9.90
29.28	-78.34	-34.68
62.44	-46.67	-45.72
54.48	-43.21	-73.02
42.76	-62.93	-55.30
14.93	-71.80	-60.80
-1.46	-59.53	-83.49
58.49	-61.43	-2.11
79.97	-14.72	15.56
73.07	-39.76	6.73
68.70	-44.63	-19.15
73.64	-25.66	-35.97
78.18	9.92	23.49
72.97	-4.47	-54.34
71.24	33.94	32.94
40.01	76.21	51.22
58.22	56.67	42.91
68.58	57.09	17.77
29.74	99.11	34.19
14.24	116.77	9.49
45.28	102.70	4.73
-22.71	-43.57	-96.17
-45.25	-22.70	-92.61
8.51	-36.83	-99.64
62.73	-16.56	-81.91
39.46	-28.53	-95.40
15.59	-7.32	-95.00
-5.54	-30.28	73.27
-16.13	-24.06	72.11
-5.71	-18.53	76.49
-26.27	-44.20	61.75
-37.61	-36.12	59.55
-26.76	-30.03	66.07
-26.32	-16.19	69.42
-35.79	-7.75	66.20
-25.12	-2.57	72.07
-46.07	-54.71	44.55
-56.31	-46.22	42.02
-48.00	-41.82	51.80
-57.78	-57.93	23.32
-64.53	-50.29	20.03
-61.63	-48.75	30.88
-64.25	-36.77	37.68
-70.80	-27.08	32.25
-64.62	-22.96	43.16
-46.13	-12.95	59.85
-44.44	0.75	62.46
-47.52	-27.27	56.49
-55.95	-18.08	52.33
-63.04	-8.84	47.25
-51.89	9.22	57.71
-42.84	14.19	64.82
-68.18	0.70	41.29
-60.48	4.72	50.17
-57.75	17.52	52.36
-61.62	25.80	46.62
-55.40	29.36	53.84
5.47	-33.40	72.44
-3.30	-42.52	68.52
13.86	-56.78	59.19
3.72	-65.97	52.47
0.02	-54.99	61.79
-13.56	-50.65	62.58
-24.29	-57.69	55.09
20.57	-74.25	37.06
10.47	-80.07	28.86
7.24	-74.22	41.01
24.87	-81.67	13.42
17.05	-84.49	6.07
13.62	-83.09	16.88
0.97	-83.17	19.75
-7.98	-85.32	9.96
-12.37	-81.76	22.07
-20.76	-68.57	45.44
-34.18	-62.53	45.75
-6.65	-72.30	43.74
-16.56	-76.45	34.05
-25.63	-77.90	23.61
-42.16	-64.71	34.98
-34.01	-78.02	13.29
-38.20	-72.58	24.64
-49.00	-65.57	24.56
-54.62	-64.52	14.93
11.64	-23.19	74.66
17.39	-33.86	70.32
34.52	-19.76	67.48
41.33	-31.21	61.64
29.42	-32.77	66.44
22.61	-45.33	63.75
27.32	-56.82	55.37
55.39	-15.48	55.49
61.63	-25.97	48.23
52.30	-28.94	55.55
70.88	-10.35	40.50
74.95	-17.65	33.03
69.36	-22.30	40.51
65.82	-35.06	38.63
68.07	-42.43	27.43
60.44	-47.90	35.54
40.03	-55.34	50.06
30.75	-65.98	44.25
47.41	-42.60	53.95
51.04	-52.08	43.17
52.91	-59.66	31.15
32.92	-72.53	31.97
53.05	-64.93	18.56
43.84	-69.45	25.79
34.06	-76.70	19.76
34.11	-79.21	8.54
4.84	-14.31	77.46
16.11	-11.45	76.00
11.50	10.61	79.51
23.75	13.65	76.34
19.86	1.08	75.95
27.61	-9.05	72.49
38.71	-6.86	67.71
18.58	36.41	78.21
30.51	38.82	73.30
27.48	26.30	75.76
24.06	59.52	70.16
33.65	61.45	64.76
32.54	50.53	69.14
40.95	40.94	66.66
50.51	42.97	58.88
48.67	30.76	62.87
42.27	5.89	66.91
48.87	-4.74	61.60
35.28	16.21	71.73
45.84	18.41	65.62
55.43	20.17	57.99
58.06	-2.70	54.34
63.73	21.41	49.16
61.06	9.50	52.43
66.28	-0.96	46.72
72.52	0.17	38.50
-3.89	-6.01	78.21
-23.38	10.99	74.48
-13.61	2.46	76.91
-1.28	6.92	79.63
1.91	20.08	80.73
-40.93	27.47	66.11
-32.69	19.44	71.02
-53.99	40.49	53.56
-48.04	34.69	60.27
-38.62	40.56	65.75
-36.53	53.90	64.48
-27.44	46.45	70.53
-8.14	29.40	79.43
5.37	33.31	80.28
-20.99	24.63	75.85
-17.99	38.30	75.78
-14.65	51.70	74.07
8.85	46.30	78.11
-10.89	64.70	70.76
-1.04	55.73	75.57
12.33	58.18	74.08
16.20	68.44	68.86
-58.86	43.77	45.33
-52.90	52.06	50.81
-56.99	66.75	33.81
-48.49	77.04	39.25
-51.33	64.38	46.02
-44.60	60.08	56.41
-33.77	67.43	61.15
-50.61	91.58	17.09
-38.36	101.56	21.24
-43.94	89.33	30.78
-31.80	111.96	9.90
-24.47	108.95	23.69
-9.49	112.24	24.28
-16.95	104.20	36.82
-29.77	81.05	55.50
-20.61	73.37	64.35
-37.56	86.48	44.06
-24.18	93.98	47.57
-8.83	98.05	49.17
-6.21	77.22	65.72
7.43	98.38	48.88
-0.06	88.78	58.62
